SOLICITANTE,PRIORIDAD,NOMBRE PIEZA,MATERIAL,DIMENSIONES,QTY,FECHA SOLICITUD,FECHA ENTREGA,TIEMPO DEMORADO (DÍAS),ESTADO,Observaciones,nro de remision
Las Americas,ALTA (FS),EJE DE PELDAÑO PMLL,ACERO PLATA,60.9 cm x 0.8 cm,3,19/05/2026,20/05/2026,1,ENTREGADO,,4078
Robledo,ALTA (FS),EJE DE PELDAÑO PMLL,ACERO PLATA,60.9 cm x 0.8 cm,4,19/05/2026,20/05/2026,1,ENTREGADO,,4079
Vizcaya,ALTA (FS),EJE DE PELDAÑO PMLL,ACERO PLATA,60.9 cm x 0.8 cm,4,19/05/2026,21/05/2026,2,ENTREGADO,,4080
Avenida Colombia,ALTA (FS),EJE DE PELDAÑO PMLL,ACERO PLATA,60.9 cm x 0.8 cm,5,19/05/2026,21/05/2026,2,ENTREGADO,,4081
CEDI Celta,BAJA (MP),ANILLOS DE BARRA OLIMPICA,BRONCE,,4,19/05/2026,,,EN PROCESO,,
Athletic Manilla,MEDIA (FL),PIN SELECTOR DE PLACAS 3/8,ALUMINIO,,4,19/05/2026,19/05/2026,0,EN PROCESO,,
Athletic Hub 72,MEDIA (FL),PERILLA ROSCA 3/8,ALUMINIO,,4,19/05/2026,,,ENTREGADO,,
Miramar,MEDIA (FL),PIN SELECTOR DE PLACAS 3/8,,,12,19/05/2026,,,EN PROCESO,,
Cedritos,MEDIA (FL),PIN SELECTOR DE PLACAS 3/8,,,3,19/05/2026,,,ENTREGADO,,
Bulevar,MEDIA (FL),PAR RIELES ESCALERA PMLL,Acero,1/4 x 1 1/2,2,19/05/2026,21/05/2026,2,ENTREGADO,,4082
Pablo VI,MEDIA (FL),RUEDA DE TRANSPORTE BANCO LF,,,4,19/05/2026,,,ENTREGADO,,
Athletic 170,MEDIA (FL),PERILLA ROSCA 3/8,ALUMINIO,,4,19/05/2026,,,EN PROCESO,,
Caney,MEDIA (FL),PIN PUSH LEG EXTENSION FZ,,,2,19/05/2026,,,ENTREGADO,,
Bulevar,MEDIA (FL),PIN SELECTOR DE PLACAS HOIST,acero plata y aluminio,,4,19/05/2026,21/05/2026,2,ENTREGADO,pin kipper ,4084
Jardin Plaza,MEDIA (FL),PIN PERCUTOR SPORTFITNESS,,,1,19/05/2026,,,ENTREGADO,,
Diverplaza,MEDIA (FL),PIN SELECTOR DE PLACAS 3/8 CON PERILLA,,,2,19/05/2026,,,ENTREGADO,,
Cedritos,MEDIA (FL),PERILLA ROSCA 3/8,,,2,19/05/2026,,,EN PROCESO,,
Plazuela,MEDIA (FL),PIN PUSH LEG EXTENSION FZ,,,2,19/05/2026,,,EN PROCESO,,
Autopista 135,MEDIA (FL),PIN DE PESO ADICIONAL CON PERILLA,,,2,19/05/2026,,,EN PROCESO,,
Ibague,MEDIA (FL),PIN SELECTOR DE PLACAS 3/8,,,12,19/05/2026,,,EN PROCESO,,
Cabrera,MEDIA (FL),PIN DE PESO ADICIONAL CON PERILLA,,,5,19/05/2026,,,EN PROCESO,,
Chico,MEDIA (FL),PIN SELECTOR DE PLACAS HOIST CON PERILLA,acero plata y aluminio,,5,19/05/2026,21/05/2026,2,ENTREGADO,pin kipper,4083
Plazuela,MEDIA (FL),EJE DE PELDAÑO PMLL,ACERO PLATA,,5,19/05/2026,21/05/2026,2,ENTREGADO,,4085
Llanocentro,MEDIA (FL),BUJE,,L 3/4 DE 1/2 D 1/4,2,19/05/2026,,,ENTREGADO,,
Athletic Salitre,MEDIA (FL),RUEDA DE TRANSPORTE BANCO LF,,,2,19/05/2026,,,EN PROCESO,,
Athletic Salitre,MEDIA (FL),PIN SELECTOR DE PLACAS HOIST CON PERILLA,,,4,19/05/2026,,,EN PROCESO,,
Cucuta,MEDIA (FL),PAR RIELES ESCALERA PMLL,,SEGUN MUESTRA,8,19/05/2026,,,ENTREGADO,,
athletic salitre,ALTA (FS),pin de placas cybex,acero plata y aluminio,8mm,2,20/05/2026,21/05/2026,1,ENTREGADO,,4086
celta/guayas,ALTA (FS),Fabricación de ponches de guayas,,3/16,3,22/05/2026,,,ENTREGADO,,
bodytech kenedy,MEDIA (FL),fabricacion de soporte de barras,,SEGUN MUESTRA,8,22/05/2026,,,EN PROCESO,,
athletic gran estacion,ALTA (FS),pin de placas cybex,acero plata y aluminio,SEGUN MUESTRA,2,22/05/2026,22/05/2026,0,ENTREGADO,,
